stimulus,response,rt
fixation,99,1.4
杀死了1名士兵,99,1
fixation,99,0.8
criminal,99,1
,0,0
fixation,99,1.1
杀死了4名士兵,99,1
fixation,99,1.3
drunk,99,1
,0,0
fixation,99,1
杀死了7名士兵,99,1
fixation,99,1.2
drunk,99,1
,0,0
fixation,99,1.3
杀死了1名士兵,99,1
fixation,99,1.4
drunk,99,1
,0,0
fixation,99,1.4
杀死了7名士兵,99,1
fixation,99,0.9
child,99,1
,0,0
fixation,99,0.9
杀死了2名士兵,99,1
fixation,99,1.4
criminal,99,1
30,99,1
fixation,99,1.2
杀死了2名士兵,99,1
fixation,99,1.1
child,99,1
,0,0
fixation,99,1.2
杀死了5名士兵,99,1
fixation,99,1.3
pregnant,99,1
,0,0
fixation,99,1.1
杀死了6名士兵,99,1
fixation,99,0.9
child,99,1
,0,0
fixation,99,1.1
杀死了7名士兵,99,1
fixation,99,1
criminal,99,1
,0,0
fixation,99,1.4
杀死了8名士兵,99,1
fixation,99,1.2
civilian,99,1
,0,0
fixation,99,1.2
杀死了4名士兵,99,1
fixation,99,1.3
criminal,99,1
33,99,1
fixation,99,1
杀死了8名士兵,99,1
fixation,99,1.1
drunk,99,1
,0,0
fixation,99,1.1
杀死了5名士兵,99,1
fixation,99,0.9
child,99,1
,0,0
fixation,99,1.1
杀死了3名士兵,99,1
fixation,99,1.2
civilian,99,1
,0,0
fixation,99,1
杀死了1名士兵,99,1
fixation,99,1.3
civilian,99,1
,0,0
fixation,99,1.3
杀死了4名士兵,99,1
fixation,99,1
pregnant,99,1
,0,0
fixation,99,1.1
杀死了6名士兵,99,1
fixation,99,1
pregnant,99,1
14,99,1
fixation,99,1.3
杀死了3名士兵,99,1
fixation,99,1.3
pregnant,99,1
,0,0
fixation,99,1.1
杀死了4名士兵,99,1
fixation,99,1.2
civilian,99,1
,0,0
fixation,99,1.4
杀死了7名士兵,99,1
fixation,99,1.3
pregnant,99,1
,0,0
fixation,99,1.2
杀死了7名士兵,99,1
fixation,99,0.8
civilian,99,1
,0,0
fixation,99,1
杀死了6名士兵,99,1
fixation,99,1.2
civilian,99,1
,0,0
fixation,99,1.1
杀死了1名士兵,99,1
fixation,99,0.8
pregnant,99,1
19,99,1
fixation,99,0.9
杀死了4名士兵,99,1
fixation,99,1.3
child,99,1
,0,0
fixation,99,0.8
杀死了8名士兵,99,1
fixation,99,1.4
criminal,99,1
,0,0
fixation,99,0.8
杀死了1名士兵,99,1
fixation,99,1.2
child,99,1
,0,0
fixation,99,1.1
杀死了2名士兵,99,1
fixation,99,0.9
civilian,99,1
,0,0
fixation,99,1.2
杀死了8名士兵,99,1
fixation,99,0.8
pregnant,99,1
,0,0
fixation,99,1.2
杀死了5名士兵,99,1
fixation,99,1.2
criminal,99,1
15,99,1
fixation,99,0.8
杀死了5名士兵,99,1
fixation,99,0.8
civilian,99,1
,0,0
fixation,99,0.9
杀死了6名士兵,99,1
fixation,99,0.8
drunk,99,1
,0,0
fixation,99,1.1
杀死了3名士兵,99,1
fixation,99,1.3
drunk,99,1
,0,0
fixation,99,1.2
杀死了3名士兵,99,1
fixation,99,1.1
child,99,1
,0,0
fixation,99,1.4
杀死了6名士兵,99,1
fixation,99,0.8
criminal,99,1
,0,0
fixation,99,1.4
杀死了8名士兵,99,1
fixation,99,0.8
child,99,1
23,99,1
fixation,99,1.1
杀死了5名士兵,99,1
fixation,99,0.9
drunk,99,1
,0,0
fixation,99,1.1
杀死了2名士兵,99,1
fixation,99,0.8
pregnant,99,1
,0,0
fixation,99,1.3
杀死了3名士兵,99,1
fixation,99,1.3
criminal,99,1
,0,0
fixation,99,1.4
杀死了2名士兵,99,1
fixation,99,1.4
drunk,99,1
,0,0
,0,0
,0,0
,0,0
10,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
28,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
35,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
22,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
6,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
13,99,1
,0,0
,0,0
,0,0
,0,0
,0,0
7,99,1
