stimulus,response,rt,accuracy
fixation,99,0.5,0.977777777777778
276,99,1,0
fixation,99,0.500480799993966,0
600,1,0.459034500003327,0
fixation,99,1.04114139999729,0
600,1,0.432237900007749,0
fixation,99,1.06798250001157,0
602,99,1,0
fixation,99,0.500034700002288,0
603,99,1,0
fixation,99,0.500373899994884,0
609,99,1,0
fixation,99,0.500115800008643,0
334,99,1,0
fixation,99,0.500098499993328,0
604,99,1,0
fixation,99,0.500080799974967,0
605,99,1,0
fixation,99,0.500004600005923,0
457,99,1,0
fixation,99,0.500086299987743,0
600,1,0.51159270000062,0
fixation,99,0.988578499993309,0
609,99,1,0
fixation,99,0.500101899990113,0
600,1,0.494016899989219,0
fixation,99,1.00620550001622,0
607,99,1,0
fixation,99,0.500063400017098,0
607,99,1,0
fixation,99,0.500610999995843,0
607,99,1,0
fixation,99,0.500113399990369,0
609,99,1,0
fixation,99,0.500059100013459,0
607,99,1,0
fixation,99,0.500056099990616,0
604,99,1,0
fixation,99,0.501553499983856,0
608,99,1,0
fixation,99,0.500145099998917,0
601,99,1,0
fixation,99,0.50018960001762,0
607,99,1,0
fixation,99,0.500015199999325,0
609,99,1,0
fixation,99,0.500132999994094,0
600,1,0.616039199987426,0
fixation,99,0.88413789999322,0
605,99,1,0
fixation,99,0.500061099999584,0
600,1,0.624961800000165,0
fixation,99,0.875230300007388,0
355,99,1,0
fixation,99,0.500051099981647,0
603,99,1,0
fixation,99,0.500093500013463,0
605,99,1,0
fixation,99,0.500128000014229,0
600,1,0.509718699991936,0
fixation,99,0.990477399987867,0
608,99,1,0
fixation,99,0.500114000024041,0
600,1,0.429604700009804,0
fixation,99,1.07060539998929,0
603,99,1,0
fixation,99,0.50012229999993,0
604,99,1,0
fixation,99,0.500125699996715,0
603,99,1,0
fixation,99,0.500146100006532,0
605,99,1,0
fixation,99,0.500340400001733,0
608,1,0.528330400004052,0
fixation,99,0.972231099993223,0
608,99,1,0
fixation,99,0.500164400000358,0
605,99,1,0
fixation,99,0.500038400001358,0
600,1,0.655506099981721,0
fixation,99,0.844678000023123,0
604,99,1,0
fixation,99,0.500111499975901,0
386,99,1,0
fixation,99,0.500010899995686,0
607,99,1,0
fixation,99,0.50009630000568,0
601,99,1,0
fixation,99,0.50007910002023,0
607,99,1,0
fixation,99,0.501301899988903,0
602,99,1,0
fixation,99,0.50004060001811,0
258,99,1,0
fixation,99,0.500119700009236,0
604,99,1,0
fixation,99,0.500060800026404,0
605,99,1,0
fixation,99,0.500102699996205,0
606,99,1,0
fixation,99,0.501860799995484,0
491,99,1,0
fixation,99,0.500091699999757,0
604,99,1,0
fixation,99,0.500124299986055,0
494,99,1,0
fixation,99,0.500073000002885,0
604,99,1,0
fixation,99,0.500093799986644,0
607,99,1,0
fixation,99,0.500142700009746,0
604,99,1,0
fixation,99,0.500117100018542,0
600,1,0.664918399997987,0
fixation,99,0.83526449999772,0
604,99,1,0
fixation,99,0.500044899992645,0
514,99,1,0
fixation,99,0.50002829998266,0
603,99,1,0
fixation,99,0.501323800010141,0
605,99,1,0
fixation,99,0.500153900007717,0
603,99,1,0
fixation,99,0.500094699993497,0
604,99,1,0
fixation,99,0.500156599999173,0
556,99,1,0
fixation,99,0.500019300001441,0
548,99,1,0
fixation,99,0.500171099993167,0
608,99,1,0
fixation,99,0.500213299994357,0
161,99,1,0
fixation,99,0.500587999995332,0
605,99,1,0
fixation,99,0.500098099990282,0
600,1,0.915489700011676,0
fixation,99,0.585363999998663,0
601,99,1,0
fixation,99,0.500027700007195,0
608,99,1,0
fixation,99,0.500098999997135,0
352,99,1,0
fixation,99,0.500138100003824,0
601,99,1,0
fixation,99,0.500140799995279,0
603,99,1,0
fixation,99,0.500983300007647,0
600,1,0.570006800000556,0
fixation,99,0.930521000002045,0
602,99,1,0
fixation,99,0.500146800011862,0
602,99,1,0
fixation,99,0.500118800002383,0
603,99,1,0
fixation,99,0.500120799988508,0
602,99,1,0
fixation,99,0.500110599998152,0
597,99,1,0
fixation,99,0.500020799983758,0
606,99,1,0
fixation,99,0.500248399999691,0
605,99,1,0
fixation,99,0.50082570000086,0
600,1,0.610068400012096,0
fixation,99,0.891249399981461,0
601,99,1,0
fixation,99,0.500044500018703,0
227,99,1,0
fixation,99,0.500036299985368,0
608,99,1,0
fixation,99,0.500105300016003,0
603,99,1,0
fixation,99,0.500024999986636,0
603,1,0.339278499974171,0
fixation,99,1.16092500000377,0
600,1,0.536973500013119,0
fixation,99,0.963279499992495,0
607,99,1,0
fixation,99,0.500290199997835,0
165,99,1,0
fixation,99,0.500041799998144,0
601,99,1,0
fixation,99,0.50002019997919,0
600,1,0.51698490002309,0
fixation,99,0.983357199991588,0
602,99,1,0
fixation,99,0.500099199998658,0
600,1,0.605740000028163,0
fixation,99,0.894459399976768,0
245,99,1,0
fixation,99,0.500121399993077,0
608,99,1,0
fixation,99,0.500054600008298,0
604,99,1,0
fixation,99,0.500357200013241,0
602,99,1,0
fixation,99,0.500154700013809,0
600,1,0.615288499975577,0
fixation,99,0.885107700014487,0
607,99,1,0
fixation,99,0.500073000002885,0
607,99,1,0
fixation,99,0.500095700001111,0
600,1,0.507725200004643,0
fixation,99,0.992627500003437,0
287,99,1,0
fixation,99,0.500423000019509,0
606,99,1,0
fixation,99,0.500100799981738,0
418,99,1,0
fixation,99,0.500116300012451,0
600,1,0.590303899982246,0
fixation,99,0.909898500016425,0
603,99,1,0
fixation,99,0.500042700004997,0
607,99,1,0
fixation,99,0.500101600016933,0
606,99,1,0
fixation,99,0.500508799974341,0
608,99,1,0
fixation,99,0.500464299984742,0
606,99,1,0
fixation,99,0.500092900008895,0
367,99,1,0
fixation,99,0.500156499998411,0
387,99,1,0
fixation,99,0.501505100022769,0
608,99,1,0
fixation,99,0.500015899975551,0
600,1,0.570092299982207,0
fixation,99,0.930096600000979,0
600,1,0.496418700000504,0
fixation,99,1.00378120000823,0
602,99,1,0
fixation,99,0.500785500014899,0
600,1,0.542257799999788,0
fixation,99,0.957946299982723,0
609,99,1,0
fixation,99,0.500078800017945,0
600,1,0.542956399993272,0
fixation,99,0.957215700007509,0
600,1,0.552086999989115,0
fixation,99,0.948090699996101,0
606,99,1,0
fixation,99,0.50003250001464,0
605,99,1,0
fixation,99,0.500061300001107,0
604,99,1,0
fixation,99,0.500131200009491,0
601,99,1,0
fixation,99,0.500136699993163,0
337,99,1,0
fixation,99,0.500552699988475,0
600,1,0.589522299997043,0
fixation,99,0.910665300005348,0
608,99,1,0
fixation,99,0.500629999994999,0
609,99,1,0
fixation,99,0.500135100010084,0
600,1,0.688208999985363,0
fixation,99,0.81200710000121,0
489,99,1,0
fixation,99,0.500027700007195,0
601,99,1,0
fixation,99,0.500168099999428,0
607,99,1,0
fixation,99,0.500124599988339,0
446,99,1,0
fixation,99,0.501831800007494,0
601,99,1,0
fixation,99,0.500024199980544,0
609,99,1,0
fixation,99,0.500056900025811,0
601,99,1,0
fixation,99,0.500086300016847,0
607,99,1,0
fixation,99,0.500110900000436,0
601,99,1,0
fixation,99,0.500093000009656,0
261,99,1,0
fixation,99,0.500254499987932,0
272,99,1,0
fixation,99,0.500170800019987,0
600,1,0.723885800020071,0
fixation,99,0.776335999980802,0
523,99,1,0
fixation,99,0.501937299995916,0
604,99,1,0
fixation,99,0.501009200001135,0
608,99,1,0
fixation,99,0.50008539998089,0
600,1,0.570893600001,0
fixation,99,0.92930299998261,0
605,99,1,0
fixation,99,0.500011600001017,0
602,99,1,0
fixation,99,0.500124999991385,0
607,99,1,0
fixation,99,0.500093500013463,0
600,1,0.570579899998847,0
fixation,99,0.929704799986212,0
601,99,1,0
fixation,99,0.500154099980136,0
600,1,0.568476099986583,0
fixation,99,0.931719499989413,0
138,99,1,0
fixation,99,0.500183500000276,0
601,99,1,0
fixation,99,0.500080199999502,0
609,99,1,0
fixation,99,0.500092700007372,0
189,99,1,0
fixation,99,0.500163900025655,0
392,99,1,0
fixation,99,0.500175599998329,0
608,99,1,0
fixation,99,0.500067600019975,0
431,99,1,0
fixation,99,0.500017499987734,0
608,99,1,0
fixation,99,0.500171399995452,0
594,99,1,0
fixation,99,0.500010699994164,0
600,1,0.48625479999464,0
fixation,99,1.01401600000099,0
602,99,1,0
fixation,99,0.500014599994756,0
609,99,1,0
