stimulus,rt,response,accuracy
fixation,0.500008500006516,99,0.8
219,1,99,0
fixation,0.500040499959141,99,0
315,1,99,0
fixation,0.500077400007285,99,0
600,1,99,0
fixation,0.500136099988595,99,0
604,1,99,0
fixation,0.500270100019407,99,0
142,1,99,0
fixation,0.500118900032248,99,0
608,1,99,0
fixation,0.500053999945521,99,0
602,1,99,0
fixation,0.500000600004569,99,0
601,1,99,0
fixation,0.500008000002708,99,0
603,1,99,0
fixation,0.500130200001877,99,0
602,1,99,0
fixation,0.500015500001609,99,0
515,1,99,0
fixation,0.500145800004248,99,0
600,1,99,0
fixation,0.50007429998368,99,0
605,1,99,0
fixation,0.500124800018966,99,0
608,1,99,0
fixation,1.04079160001129,99,0
600,0.45946990000084,1,0
fixation,1.46172980003757,99,0
604,0.0385405999841169,1,0
fixation,0.500018399965484,99,0
608,1,99,0
fixation,0.50013229995966,99,0
601,1,99,0
fixation,0.500015600002371,99,0
601,1,99,0
fixation,0.500033100019209,99,0
415,1,99,0
fixation,0.500154000008479,99,0
600,1,99,0
fixation,0.500055300013628,99,0
606,1,99,0
fixation,0.5000088000088,99,0
138,1,99,0
fixation,0.500059899990447,99,0
299,1,99,0
fixation,0.500057900033426,99,0
603,1,99,0
fixation,0.500108500011265,99,0
179,1,99,0
fixation,0.500100300007034,99,0
604,1,99,0
fixation,0.500112199981231,99,0
606,1,99,0
fixation,0.500093299953733,99,0
607,1,99,0
fixation,0.500048899964895,99,0
600,1,99,0
fixation,0.500044499989599,99,0
600,1,99,0
fixation,0.500407600018661,99,0
602,1,99,0
fixation,0.500082099984866,99,0
606,1,99,0
fixation,0.500050199974794,99,0
602,1,99,0
fixation,0.500104800041299,99,0
600,1,99,0
fixation,0.500103999977,99,0
256,1,99,0
fixation,0.500142699980643,99,0
606,1,99,0
fixation,0.500103000027593,99,0
603,1,99,0
fixation,0.500125700025819,99,0
603,1,99,0
fixation,0.500092700007372,99,0
600,1,99,0
fixation,0.500149599974975,99,0
600,1,99,0
fixation,0.50013110000873,99,0
606,1,99,0
fixation,0.500036799989175,99,0
477,1,99,0
fixation,0.500087399967015,99,0
604,1,99,0
fixation,0.500040999962948,99,0
551,1,99,0
fixation,0.500142699980643,99,0
492,1,99,0
fixation,0.500048600020818,99,0
175,1,99,0
fixation,0.500137299997732,99,0
602,1,99,0
fixation,0.500054000003729,99,0
606,1,99,0
fixation,0.500087300024461,99,0
602,1,99,0
fixation,0.50011139997514,99,0
601,1,99,0
fixation,0.50011349999113,99,0
601,1,99,0
fixation,0.500004799978342,99,0
600,1,99,0
fixation,0.500111699977424,99,0
608,1,99,0
fixation,0.500010100018699,99,0
608,1,99,0
fixation,0.500138200004585,99,0
602,1,99,0
fixation,0.50011020002421,99,0
600,1,99,0
fixation,0.500027500034776,99,0
605,1,99,0
fixation,0.500340000027791,99,0
242,1,99,0
fixation,0.50014530000044,99,0
147,1,99,0
fixation,0.500081599981058,99,0
607,1,99,0
fixation,0.500043599982746,99,0
600,1,99,0
fixation,0.500146600010339,99,0
602,1,99,0
fixation,0.500101700017694,99,0
608,1,99,0
fixation,0.500059199985117,99,0
603,1,99,0
fixation,0.500138199946377,99,0
381,1,99,0
fixation,0.500019400031306,99,0
605,1,99,0
fixation,0.500000600004569,99,0
601,1,99,0
fixation,0.50003660004586,99,0
607,1,99,0
fixation,0.500156899972353,99,0
379,1,99,0
fixation,0.500009400013369,99,0
600,1,99,0
fixation,0.500103899976239,99,0
600,1,99,0
