stimulus,response,rt
fixation,99,1.3
46,1,1.1955895999854
fixation,99,1.3
39,99,2
fixation,99,0.9
38,1,1.12524940000731
fixation,99,1.2
2,1,0.118194900016533
fixation,99,1.1
43,1,0.17920710000908
fixation,99,1.4
15,1,0.229938500007847
fixation,99,1.2
16,1,0.622798000025796
fixation,99,1.3
48,99,2
fixation,99,1.1
1,99,2
fixation,99,1.1
24,1,0.907746200013207
fixation,99,1.3
7,1,0.803610700007994
fixation,99,0.8
21,99,2
fixation,99,0.8
25,99,2
fixation,99,0.9
19,99,2
fixation,99,1
9,99,2
fixation,99,1.3
17,99,2
fixation,99,1.3
33,99,2
fixation,99,0.8
47,99,2
fixation,99,1
5,99,2
fixation,99,1.1
23,99,2
fixation,99,1
28,99,2
fixation,99,1.2
36,99,2
fixation,99,1.2
45,99,2
fixation,99,1
27,99,2
fixation,99,1.1
3,99,2
fixation,99,0.8
10,99,2
fixation,99,1.4
40,99,2
fixation,99,0.9
14,99,2
fixation,99,0.8
31,99,2
fixation,99,1
37,99,2
fixation,99,0.9
44,99,2
fixation,99,1.1
30,99,2
fixation,99,1
6,99,2
fixation,99,1.4
26,99,2
fixation,99,1.4
0,99,2
fixation,99,0.8
11,99,2
fixation,99,1.3
8,99,2
fixation,99,0.9
35,99,2
fixation,99,1
34,99,2
fixation,99,1.1
41,99,2
fixation,99,1.4
49,99,2
fixation,99,1
20,99,2
fixation,99,1.4
29,99,2
fixation,99,1
18,99,2
fixation,99,1.2
12,99,2
fixation,99,1.2
32,99,2
fixation,99,1.1
22,99,2
fixation,99,1.2
42,99,2
fixation,99,1.2
13,99,2
fixation,99,0.9
4,99,2
